-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     204.811ms       162.24%     204.811ms      68.270ms           0 B           0 B           0 B           0 B             3  
rmsnorm_kernel_Kt1_A2f32_1v4l0_2t1_3i16_p16_A2f16_1v...         0.00%       0.000us         0.00%       0.000us       0.000us      96.855ms        76.73%      96.855ms     633.040us           0 B           0 B           0 B           0 B           153  
                                          ProfilerStep*        26.44%      56.080ms        98.96%     209.917ms      69.972ms       0.000us         0.00%      26.703ms       8.901ms           0 B           0 B     883.00 KB    -177.11 MB             3  
                                           aten::linear         1.52%       3.224ms        14.58%      30.930ms      61.007us       0.000us         0.00%      20.826ms      41.077us           0 B           0 B      51.40 MB           0 B           507  
                                           aten::matmul         1.85%       3.927ms        10.99%      23.317ms      53.234us       0.000us         0.00%      20.203ms      46.125us           0 B           0 B      54.43 MB           0 B           438  
                                               aten::mm         3.13%       6.648ms         4.65%       9.856ms      33.868us      19.226ms        15.23%      19.226ms      66.070us           0 B           0 B      48.34 MB      48.34 MB           291  
_ZN7cutlass7Kernel2I65cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us       8.522ms         6.75%       8.522ms      56.813us           0 B           0 B           0 B           0 B           150  
_ZN7cutlass7Kernel2I64cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us       6.989ms         5.54%       6.989ms       1.747ms           0 B           0 B           0 B           0 B             4  
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us       5.168ms         4.09%       5.168ms      68.911us           0 B           0 B           0 B           0 B            75  
