-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     262.864ms      1064.93%     262.864ms      87.621ms           0 B           0 B           0 B           0 B             3  
                                          ProfilerStep*        24.76%      66.244ms        99.56%     266.329ms      88.776ms       0.000us         0.00%      24.684ms       8.228ms           0 B           0 B     883.00 KB    -136.91 MB             3  
                                           aten::linear         1.86%       4.986ms        17.04%      45.574ms      89.889us       0.000us         0.00%      17.888ms      35.282us           0 B           0 B      51.40 MB           0 B           507  
                                           aten::matmul         1.98%       5.290ms        12.31%      32.918ms      75.155us       0.000us         0.00%      17.385ms      39.693us           0 B           0 B      54.43 MB           0 B           438  
                                               aten::mm         3.44%       9.203ms         5.34%      14.296ms      49.128us      16.418ms        66.51%      16.418ms      56.418us           0 B           0 B      48.34 MB      48.34 MB           291  
_ZN7cutlass7Kernel2I65cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us       7.198ms        29.16%       7.198ms      49.986us           0 B           0 B           0 B           0 B           144  
_ZN7cutlass7Kernel2I64cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us       4.564ms        18.49%       4.564ms       1.521ms           0 B           0 B           0 B           0 B             3  
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us       3.895ms        15.78%       3.895ms      54.101us           0 B           0 B           0 B           0 B            72  
                     aten::scaled_dot_product_attention         0.30%     793.400us        26.90%      71.963ms     999.492us       0.000us         0.00%       2.854ms      39.644us           0 B           0 B       2.36 MB    -720.00 KB            72  
